# X(m) Y(m) Z(m)
0.134 0.245 0.202
0.134 0.245 0.202
0.134 0.245 0.202
0.133 0.245 0.201
0.133 0.245 0.201
0.133 0.245 0.201
0.133 0.244 0.201
0.133 0.244 0.201
0.133 0.244 0.201
0.133 0.244 0.201
0.133 0.244 0.201
0.133 0.243 0.200
0.133 0.243 0.200
0.132 0.243 0.200
0.132 0.242 0.200
0.132 0.242 0.200
0.132 0.242 0.199
0.132 0.242 0.199
0.132 0.242 0.199
0.132 0.241 0.199
0.132 0.241 0.199
0.131 0.241 0.198
0.131 0.241 0.198
0.131 0.241 0.198
0.131 0.240 0.198
0.131 0.240 0.198
0.131 0.240 0.197
0.131 0.240 0.197
0.131 0.239 0.197
0.131 0.240 0.197
0.131 0.239 0.197
0.130 0.239 0.197
0.130 0.239 0.197
0.130 0.239 0.197
0.130 0.239 0.196
0.130 0.239 0.196
0.130 0.238 0.196
0.130 0.238 0.196
0.130 0.238 0.196
0.130 0.238 0.196
0.130 0.238 0.196
0.129 0.237 0.195
0.129 0.237 0.195
0.129 0.237 0.195
0.129 0.237 0.195
0.129 0.236 0.195
0.129 0.236 0.195
0.129 0.236 0.195
0.129 0.236 0.194
0.129 0.236 0.194
0.129 0.236 0.194
0.128 0.236 0.194
0.128 0.235 0.194
0.128 0.235 0.194
0.128 0.235 0.194
0.128 0.235 0.194
0.128 0.235 0.193
0.128 0.234 0.193
0.128 0.234 0.193
0.128 0.234 0.193
0.128 0.234 0.193
0.127 0.234 0.192
0.127 0.233 0.192
0.127 0.233 0.192
0.127 0.233 0.192
0.127 0.233 0.192
0.127 0.233 0.192
0.127 0.232 0.191
0.127 0.232 0.191
0.127 0.232 0.191
0.126 0.232 0.191
0.126 0.232 0.191
0.126 0.232 0.191
0.126 0.231 0.191
0.126 0.231 0.190
0.126 0.231 0.190
0.126 0.231 0.190
0.126 0.231 0.190
0.126 0.231 0.190
0.126 0.230 0.190
0.126 0.230 0.190
0.125 0.230 0.190
0.125 0.230 0.189
0.125 0.230 0.189
0.125 0.229 0.189
0.125 0.229 0.189
0.125 0.229 0.189
0.125 0.229 0.188
0.125 0.229 0.188
0.125 0.229 0.188
0.125 0.229 0.188
0.124 0.228 0.188
0.124 0.228 0.188
0.124 0.228 0.188
0.124 0.228 0.188
0.124 0.228 0.188
0.124 0.228 0.188
0.124 0.228 0.188
0.124 0.228 0.187
0.124 0.227 0.187
0.124 0.227 0.187
0.124 0.227 0.187
0.124 0.227 0.187
0.124 0.227 0.187
0.124 0.226 0.187
0.123 0.226 0.186
0.123 0.226 0.186
0.123 0.226 0.186
0.123 0.226 0.186
0.123 0.226 0.186
0.123 0.226 0.186
0.123 0.226 0.186
0.123 0.226 0.186
0.123 0.226 0.186
0.123 0.225 0.186
0.123 0.225 0.185
0.123 0.225 0.185
0.123 0.225 0.185
0.123 0.225 0.185
0.122 0.224 0.185
0.122 0.224 0.185
0.122 0.224 0.185
0.122 0.224 0.185
0.122 0.224 0.184
0.122 0.224 0.184
0.122 0.224 0.184
0.122 0.224 0.184
0.122 0.223 0.184
0.122 0.223 0.184
0.122 0.223 0.184
0.121 0.223 0.183
0.121 0.223 0.183
0.121 0.223 0.183
0.121 0.223 0.183
0.121 0.222 0.183
0.121 0.222 0.183
0.121 0.222 0.183
0.121 0.222 0.183
0.121 0.222 0.183
0.121 0.222 0.182
0.121 0.221 0.182
0.121 0.221 0.182
0.121 0.221 0.182
0.121 0.221 0.182
0.121 0.221 0.182
0.121 0.221 0.182
0.120 0.221 0.182
0.120 0.221 0.182
0.120 0.221 0.182
0.120 0.220 0.182
0.120 0.220 0.182
0.120 0.220 0.181
0.120 0.220 0.181
0.120 0.220 0.181
0.120 0.220 0.181
0.120 0.219 0.181
0.120 0.219 0.181
0.120 0.219 0.180
0.119 0.219 0.180
0.119 0.219 0.180
0.119 0.219 0.180
0.119 0.219 0.180
0.119 0.219 0.180
0.119 0.218 0.180
0.119 0.218 0.180
0.119 0.218 0.180
0.119 0.218 0.180
0.119 0.218 0.180
0.119 0.218 0.180
0.119 0.218 0.180
0.119 0.218 0.180
0.119 0.218 0.180
0.119 0.218 0.179
0.124 0.269 0.195
0.124 0.269 0.195
0.124 0.269 0.195
0.124 0.268 0.195
0.124 0.268 0.194
0.124 0.268 0.194
0.124 0.268 0.194
0.124 0.268 0.194
0.124 0.268 0.194
0.123 0.267 0.194
0.123 0.267 0.194
0.123 0.267 0.194
0.123 0.267 0.194
0.123 0.267 0.194
0.123 0.267 0.193
0.123 0.266 0.193
0.123 0.266 0.193
0.123 0.266 0.193
0.123 0.266 0.193
0.123 0.266 0.193
0.123 0.266 0.193
0.123 0.266 0.193
0.123 0.266 0.193
0.123 0.265 0.192
0.122 0.265 0.192
0.122 0.265 0.192
0.122 0.265 0.192
0.122 0.265 0.192
0.122 0.265 0.192
0.122 0.265 0.192
0.122 0.264 0.192
0.122 0.264 0.191
0.122 0.264 0.191
0.122 0.264 0.191
0.122 0.264 0.191
0.122 0.263 0.191
0.122 0.263 0.191
0.121 0.263 0.191
0.121 0.263 0.191
0.121 0.263 0.190
0.121 0.262 0.190
0.121 0.262 0.190
0.121 0.262 0.190
0.121 0.262 0.190
0.121 0.262 0.190
0.121 0.261 0.190
0.121 0.261 0.189
0.121 0.261 0.189
0.120 0.261 0.189
0.120 0.261 0.189
0.121 0.262 0.190
0.124 0.096 0.069
0.124 0.096 0.069
0.124 0.096 0.069
0.124 0.096 0.069
0.124 0.096 0.069
0.124 0.096 0.069
0.124 0.096 0.069
0.124 0.096 0.069
0.124 0.096 0.069
0.124 0.096 0.069
0.124 0.096 0.069
0.124 0.096 0.069
0.124 0.096 0.069
0.125 0.097 0.070
0.124 0.096 0.069
0.125 0.097 0.070
0.124 0.096 0.069
0.125 0.097 0.069
0.125 0.097 0.070
0.124 0.096 0.069
0.124 0.096 0.069
0.124 0.096 0.069
0.124 0.096 0.069
0.124 0.096 0.069
0.124 0.096 0.069
0.124 0.096 0.069
0.124 0.096 0.069
0.124 0.096 0.069
0.125 0.110 0.079
0.125 0.110 0.079
0.125 0.110 0.079
0.125 0.110 0.079
0.125 0.110 0.079
0.125 0.110 0.079
0.125 0.110 0.079
0.125 0.110 0.079
0.125 0.110 0.079
0.125 0.110 0.079
0.125 0.110 0.079
0.125 0.110 0.079
0.125 0.110 0.079
0.125 0.110 0.079
0.125 0.110 0.079
0.125 0.110 0.079
0.125 0.110 0.079
0.125 0.110 0.079
0.125 0.110 0.079
0.125 0.109 0.079
0.125 0.109 0.079
0.125 0.109 0.079
0.125 0.109 0.079
0.125 0.109 0.079
0.125 0.109 0.079
0.124 0.109 0.079
0.124 0.109 0.079
0.124 0.109 0.079
0.138 0.118 0.084
0.138 0.118 0.084
0.138 0.118 0.084
0.138 0.118 0.084
0.138 0.118 0.084
0.138 0.118 0.084
0.138 0.118 0.084
0.138 0.118 0.084
0.138 0.118 0.084
0.138 0.118 0.084
0.144 0.106 0.076
0.144 0.106 0.075
0.144 0.106 0.075
0.144 0.106 0.075
0.144 0.106 0.075
0.144 0.106 0.075
0.144 0.106 0.075
0.144 0.106 0.075
0.144 0.106 0.075
0.144 0.106 0.075
0.144 0.106 0.075
0.144 0.106 0.075
0.144 0.106 0.075
0.144 0.106 0.075
0.144 0.106 0.075
0.144 0.106 0.075
0.144 0.106 0.075
0.144 0.105 0.075
0.144 0.105 0.075
0.144 0.105 0.075
0.144 0.105 0.075
0.232 0.186 0.128
0.232 0.185 0.128
0.232 0.185 0.128
0.232 0.185 0.128
0.231 0.185 0.128
0.231 0.185 0.128
0.231 0.185 0.128
0.231 0.185 0.128
0.231 0.185 0.128
0.231 0.185 0.128
0.231 0.184 0.128
0.231 0.184 0.128
0.231 0.184 0.128
0.230 0.184 0.127
0.230 0.184 0.127
0.265 0.226 0.156
0.265 0.226 0.156
0.265 0.226 0.156
0.265 0.226 0.156
0.265 0.226 0.156
0.265 0.226 0.156
0.264 0.225 0.156
0.264 0.225 0.156
0.264 0.225 0.155
0.264 0.225 0.155
0.264 0.225 0.155
0.264 0.225 0.155
0.264 0.225 0.155
0.255 0.211 0.145
0.255 0.211 0.145
0.255 0.211 0.145
0.255 0.211 0.145
0.255 0.211 0.145
0.255 0.211 0.145
0.255 0.211 0.145
0.255 0.211 0.145
0.255 0.211 0.145
0.255 0.211 0.145
0.255 0.211 0.145
0.255 0.211 0.145
