# X(m) Y(m) Z(m)
0.151 0.196 0.178
0.151 0.196 0.178
0.151 0.196 0.178
0.151 0.196 0.178
0.151 0.195 0.178
0.151 0.195 0.178
0.151 0.195 0.178
0.151 0.195 0.178
0.150 0.195 0.177
0.150 0.195 0.177
0.150 0.195 0.177
0.150 0.195 0.177
0.150 0.195 0.177
0.150 0.194 0.177
0.150 0.194 0.177
0.150 0.194 0.177
0.150 0.194 0.176
0.150 0.194 0.176
0.150 0.194 0.176
0.150 0.194 0.176
0.149 0.194 0.176
0.149 0.193 0.176
0.149 0.193 0.176
0.149 0.193 0.176
0.149 0.193 0.176
0.149 0.193 0.175
0.149 0.193 0.175
0.149 0.193 0.175
0.148 0.192 0.175
0.148 0.192 0.175
0.148 0.192 0.175
0.148 0.192 0.175
0.148 0.192 0.175
0.148 0.192 0.175
0.148 0.192 0.175
0.148 0.192 0.174
0.148 0.191 0.174
0.148 0.191 0.174
0.148 0.191 0.174
0.148 0.191 0.174
0.147 0.191 0.174
0.147 0.191 0.174
0.147 0.191 0.174
0.147 0.191 0.174
0.147 0.190 0.173
0.147 0.190 0.173
0.147 0.190 0.173
0.147 0.190 0.173
0.147 0.190 0.173
0.146 0.190 0.173
0.146 0.190 0.173
0.146 0.190 0.173
0.146 0.190 0.172
0.146 0.189 0.172
0.146 0.189 0.172
0.146 0.189 0.172
0.146 0.189 0.172
0.146 0.189 0.172
0.146 0.189 0.172
0.146 0.189 0.172
0.145 0.188 0.171
0.145 0.188 0.171
0.145 0.188 0.171
0.145 0.188 0.171
0.145 0.188 0.171
0.145 0.188 0.171
0.145 0.188 0.171
0.145 0.188 0.171
0.145 0.188 0.171
0.145 0.188 0.171
0.145 0.188 0.171
0.145 0.187 0.170
0.145 0.187 0.170
0.145 0.187 0.170
0.144 0.187 0.170
0.144 0.187 0.170
0.144 0.187 0.170
0.144 0.187 0.170
0.144 0.186 0.170
0.144 0.186 0.170
0.144 0.186 0.170
0.144 0.186 0.169
0.144 0.186 0.169
0.144 0.186 0.169
0.143 0.186 0.169
0.143 0.186 0.169
0.143 0.186 0.169
0.143 0.186 0.169
0.143 0.185 0.169
0.143 0.185 0.168
0.143 0.185 0.168
0.143 0.185 0.168
0.143 0.185 0.168
0.143 0.185 0.168
0.143 0.185 0.168
0.143 0.185 0.168
0.143 0.185 0.168
